date,layers,filename,id_on_A,id_off_A,on_off_ratio,vgs_min_V,vgs_max_V,n_points
19-08,40,AB-DB2-T14-Fast-2-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,40,AB-DB3-T14-Fast-2-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,40,AB-DB4-T14-Fast-2-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,40,AB-DC1-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,40,AB-DC2-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,40,AB-DC4-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,40,AB-DC4-T14-Fast-2-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EA1-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EA2-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,50,AB-EA3-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,50,AB-EA4-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,50,AB-EB1-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EB2-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EB3-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,50,AB-EB4-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EC1-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EC2-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EC3-T14-Fast-1-vgs_sweep-vgs_sweep,2.9296875e-05,3.66210938e-06,7.999999989077333,-10.0,10.0,2500
19-08,50,AB-EC4-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FA1-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FA2-T14-Fast-1-vgs_sweep-vgs_sweep,1.83105469e-05,3.66210938e-06,5.0,-10.0,10.0,2500
19-08,60,AB-FA3-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FA4-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FB1-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FB2-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FB3-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FB4-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,7.32421875e-06,3.499999996586667,-10.0,10.0,2500
19-08,60,AB-FC1-T14-Fast-1-vgs_sweep-vgs_sweep,1.83105469e-05,7.32421875e-06,2.5000000034133336,-10.0,10.0,2500
19-08,60,AB-FC2-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FC3-T14-Fast-1-vgs_sweep-vgs_sweep,2.56347656e-05,3.66210938e-06,6.999999983616,-10.0,10.0,2500
19-08,60,AB-FC4-T14-Fast-1-vgs_sweep-vgs_sweep,1.83105469e-05,3.66210938e-06,5.0,-10.0,10.0,2500
