devID,chipID,area,R5,R5_StdDev,R5_NumSamples,R5_AvgFitQuality,R5_LeastFitQuality,R5_PlotFilename,R5_Best,R5_BestFitQuality
HA4,Chip#1,324,1871.63589658967,228.232093949469,5,0.99943959983646,0.997751482244816,R5_HA4_Chip#1_1.png,1910.08058111599,0.999872122861805
IC1,Chip#1,36,9229.94380178144,443.32354023377,5,0.999639924965494,0.99941029869092,R5_IC1_Chip#1_2.png,9229.94380178144,0.999866562003466
IB1,Chip#1,144,3015.64552707503,135.191552638989,5,0.999786938853303,0.99946128753516,R5_IB1_Chip#1_3.png,3029.88617178312,0.999922084552527
IA1,Chip#1,324,1862.155779667,88.3604711010889,5,0.999570986902059,0.998356515004358,R5_IA1_Chip#1_4.png,1862.155779667,0.999877588930068
IA2,Chip#1,324,2104.47267282553,137.525575619493,5,0.999660311913101,0.99944042868839,R5_IA2_Chip#1_5.png,2163.75210421364,0.999906253255549
IA4,Chip#1,324,NaN,NaN,0,NaN,NaN,,NaN,NaN
IA3,Chip#1,324,31411.9969683628,100035.698841468,3,0.975188503587981,0.947325962730292,R5_IA3_Chip#1_7.png,188786.486900747,0.947325962730292
IB4,Chip#1,144,NaN,NaN,0,NaN,NaN,,NaN,NaN
IB3,Chip#1,144,NaN,NaN,0,NaN,NaN,,NaN,NaN
IC3,Chip#1,36,NaN,NaN,0,NaN,NaN,,NaN,NaN
IC2,Chip#1,36,7106.62721839814,144.611950991313,5,0.999666783923309,0.999428456159067,R5_IC2_Chip#1_11.png,7324.1794400329,0.999854020813478
IB2,Chip#1,144,3333.81305769673,170.546640660077,5,0.999027653687726,0.995810934616112,R5_IB2_Chip#1_12.png,3507.64236530533,0.999944663482005
HC4,Chip#1,36,9290.56893108233,309.956605563965,5,0.999726847377306,0.999494988108717,R5_HC4_Chip#1_13.png,9066.23594942878,0.999786248698125
HC3,Chip#1,36,NaN,NaN,0,NaN,NaN,,NaN,NaN
HC2,Chip#1,36,NaN,NaN,0,NaN,NaN,,NaN,NaN
HC1,Chip#1,36,5445.45163723663,75.9118492907591,3,0.999715626837058,0.999564289661174,R5_HC1_Chip#1_16.png,5445.45163723663,0.999874416735591
HB4,Chip#1,144,2541.17541793369,78.8581873638347,5,0.999679082437395,0.999404522424395,R5_HB4_Chip#1_17.png,2667.59520722127,0.999404522424395
HB2,Chip#1,144,2585.22330962954,33.4304599948736,3,0.99980806552119,0.999619644164058,R5_HB2_Chip#1_18.png,2585.22330962954,0.999942028101798
